user_id,searched_term
d1a607dbed7fdfb23a3e02ae5f1c2735458c989e,albuquerque
c23e1109f7fbedbc279893e28ea7b30debdfae53,aguas calientes
aa21e7a2aebd1f965b35b86bc36293cb9c8377f6,hampton court to westminster
432a88c1dfeb8190383fecd27ac702f319abb2c8,buckinham palace
85c532ee8a7f07073e9273352e831149eb109047,fishing
3f07b03b1d71b85afd49ba59792b52e22226162d,becky local guide
8cf89967d4f23778a60c18f93a65f085552c15af,alwar
245be445bec0183a1445fcf4a0e6aaaa6e72aa28,széchenyi spa
691acca581bccc4b164fc8192039ee9502ab959c,hamam
b1e6341be3a06ccc57d153d960b8cfa3b2e8e248,salt spring island
373f9e68351be9d84e12e9b5deb3639f8db45399,koh yao yai ao nang
7464e2f526c6471958b3f24b8af72b772ab4b8d1,dali
df14515c5cc227b244b1b03e35bc33eb440fc40a,circus
35e1282ab0f79ccf20f66471abed471fc9134133,ballito
18e790fdb7962fb2e19fedc04fb9cda58da5f982,weatherspoons manchestre
d2a51a842144444fdb9f66108815306e6b019f74,copacabana
c628d989417bca705dad4d09cf60b02ce5b662dd,"london bridge experience, tombs ticket, and audio guide"
e3b2a07154517f60148ecb875f7c3cd04f85e468,bakersfield
9ddd22005fd610e2ab8c8f3ecabd2df4d7d850f2,benalmádena
8411d48b733a2948e94806c6e9b23d26ab5f1b64,tegernsee
866ef846f00d301c7d6b54439c87ad523272fcc5,graham
c7b465a44703b062a9990d225992cd1eeb1040e3,antwerp
7b71224ff19336957feb0ae21595a3bf8b03dc98,milwaukee
98d13d8b37e78d9dd8ff4304ef5770182913d84b,"metropolitan museum of art, ny"
fb4a7c896eeeed20fb0b1b55664c50a052267ec2,punta cana catalina
7bb67701387bbbf0b13ae75ddbe9e589b82112fc,mangalore
6062a1ff17b5dc073e3630998f1b0bb2345d06af,fonda united states
dab67f7f4aba7247c8d32c09086565eac33103eb,murmansk
313f26c8ca40fe2cc9ba1402d38b65e060397caa,palazzo degli uffizi
faf2e6415380827e6c8b266d4d1fce24157a7084,museo del prado
4cb71c0abbdaa1255d619b5bec81ab8c86f5f35d,fukushima
0567c005c626ea0ee6429fb11a1063951c23e521,the white house
e4c22fe6dff69b8ec44f23ed563127e84053a750,karbala
a238f7ec820718240056492983fc1b7408c939da,chur
b278ec37a585afb95ff7bc1fdca2fc61275d0de6,desert
fea33a1d249502e83b7dc3770f229af0c6a3c015,sevan
93c7bd8d46946bf590b2bbea5eb9f3464b37d9a0,jinja
5b9e3a1276c8fd20dffaaf5188c7efd727d5b911,thousand islands
2a1e109522c130055434ea00c357bd1d473b3283,sen monorom
3d18e3e64a911b08609769782decb65f0eeaff7a,aladdin
c6290309df7cea649ce5cab86675f3b7afad838a,angers
721cecc7f9239a8f6770525a3a4f1bfdb330ddd7,aitutaki
2d18313aa9a3651c5552f3c45f2c4332b491062c,david copperfield
27975fe16ed7bcd9949300e0694647a53f8660e8,hanzhong
2401c0eeb3e041b388407518def5eaaf0c08787f,sagada
51106999c7b0116568fb90de6fb46e149a9353e8,rottnest island accommodation
0eb5ed985e0cdee37f787e5e9c7304be0666ad25,santiniketan
fdfaf402c4c9dd96443dd9ecb5c0582ecbf345e0,everland
fbdde8008173dffbb080665d308ddbb69ce7973d,kefalonia
c5401dd60a9ebf1d428191f2e00642401d45e229,solvang
93306f60689b4ae23ba77b26185f7127035aeec4,lappeenranta
79f52a128ccbcabaad1f3f08fc4ad13e9f93f5c0,dubai museum
ffef594fc5650d74c742a34abd6035f99366fe45,gramado
d25581df589fbec69d024a95b03e1f64446eb394,manado
04d1deb9841214ac764e766962adffc30bfbf2a8,redding
de7d3794f9a91516d5e202e06654169bdd06bbea,inglewood
acda83342c465c5e2fb8a05882e263a6daa53ebf,yongin
dc6a1e7e8f267d99f2ad3f0cb3423faf87dd5c74,lanzhou
d01bacce5b3bb2e0c192e1656db850e207032d2c,rome
3ba26b463cc1742526f60e651c5752357783a128,mariehamn
80af53f23f41b825affe0d2d87f053f1c86c1200,yellowstone national park
9cb89e3de97b66bce9dd2f1d141eca9e589a2e4d,burbank
ebeb6f761642bd0578c108eba5660247d05b3c0a,notre dame cathedral
73f11d406dde0de83e8921a6d497a601bd3a33fb,louisville
0de97725d0f7a698e2ba2a4e8f8cea0b683da28e,sarasota
2ad220e37c5d09afbdf112759610868ec4095778,ao nang
cc249ab1ff57679cd0e09f7afceed89e412e58b8,dhanbad
74615cf3786b312d4c402d43221ffc4ab34e4317,the beach
ed68ae6f19898dea380b2d251ded7dccc81ea69d,photography
b6153ad9b5318d9f36fe0a8b2bf8a6b2016cc556,long island
8bfa21b1beb96fd460640e70821774025c96817e,soltau
16a524ca3816f799c328e6f8ae8ba26af9215a71,arles
